Produto,Categoria,Preco,Quantidade,DataVenda
Moto Z,Celular,1500,4,2017-09-10
Moto Z,Celular,1500,1,2017-09-10
Smart TV LED Full HD 55',Televisão,2000,5,2017-09-10
Galaxy S10,Celular,4500,4,2017-09-10
Galaxy J8,Celular,1100,5,2017-09-10
Smart TV 50' 4K,Televisão,2600,5,2017-09-10
Smart Watch MI,Smart Watch,1200,5,2017-09-10
Smart TV 50' 4K,Televisão,2600,5,2017-09-10
Samsung Dual Core,Notebook,1500,5,2017-09-10
Aspire 5,Notebook,2400,2,2017-09-10
Moto Z,Celular,1500,1,2017-09-10
Câmera Digital Rebel T6,Câmera,1500,1,2017-09-10
Inspiron 15,Notebook,2300,3,2017-09-10
Moto G7,Celular,1400,4,2017-09-10
Câmera Digital Rebel T6,Câmera,1500,1,2017-09-10
Smart TV 50' 4K,Televisão,2600,1,2017-09-10
Câmera Digital Rebel T6,Câmera,1500,3,2017-09-10
Galaxy S10,Celular,4500,4,2017-09-10
Aspire 5,Notebook,2400,3,2017-09-11
Smart Watch MI,Smart Watch,1200,5,2017-09-11
Moto Z,Celular,1500,3,2017-09-11
Moto Z,Celular,1500,1,2017-09-11
Samsung Dual Core,Notebook,1500,3,2017-09-11
Câmera Digital Rebel T6,Câmera,1500,3,2017-09-11
Câmera Digital Rebel T6,Câmera,1500,3,2017-09-11
Galaxy J8,Celular,1100,3,2017-09-11
TV LED 32',Televisão,1400,1,2017-09-11
Moto Z,Celular,1500,5,2017-09-11
Moto G7,Celular,1400,2,2017-09-11
Câmera Digital Sony Cyber,Câmera,700,1,2017-09-11
Inspiron 15,Notebook,2300,2,2017-09-11
Moto G7,Celular,1400,4,2017-09-11
iPhone 6S,Celular,1900,1,2017-09-11
Moto G7,Celular,1400,2,2017-09-11
Smart TV 50' 4K,Televisão,2600,4,2017-09-11
Câmera Digital Rebel T6,Câmera,1500,4,2017-09-11
Smart TV LED Full HD 55',Televisão,2000,3,2017-09-11
Smart TV LED Full HD 55',Televisão,2000,3,2017-09-11
Inspiron 15,Notebook,2300,3,2017-09-11
Câmera Digital Sony Cyber,Câmera,700,3,2017-09-12
Inspiron 15,Notebook,2300,5,2017-09-12
Câmera Digital Rebel T6,Câmera,1500,5,2017-09-12
Câmera Digital Sony Cyber,Câmera,700,3,2017-09-12
Smart TV LED Full HD 55',Televisão,2000,5,2017-09-12
Samsung Dual Core,Notebook,1500,5,2017-09-12
Inspiron 15,Notebook,2300,5,2017-09-12
Câmera Digital Sony Cyber,Câmera,700,4,2017-09-12
Inspiron 15,Notebook,2300,5,2017-09-12
Dell G7,Notebook,5500,2,2017-09-12
Câmera Digital Rebel T6,Câmera,1500,1,2017-09-12
Smart TV 50' 4K,Televisão,2600,4,2017-09-12
Smart TV LED Full HD 55',Televisão,2000,2,2017-09-12
Câmera Digital Sony Cyber,Câmera,700,2,2017-09-12
Câmera Digital Rebel T6,Câmera,1500,1,2017-09-12
Samsung Dual Core,Notebook,1500,3,2017-09-13
Smart TV LED Full HD 55',Televisão,2000,5,2017-09-13
Inspiron 15,Notebook,2300,2,2017-09-13
Samsung Dual Core,Notebook,1500,3,2017-09-13
iPhone 7,Celular,2500,3,2017-09-13
Smart Watch MI,Smart Watch,1200,4,2017-09-13
Câmera Digital Rebel T6,Câmera,1500,5,2017-09-13
TV LED 32',Televisão,1400,2,2017-09-13
Inspiron 15,Notebook,2300,5,2017-09-13
Moto G7,Celular,1400,5,2017-09-13
Galaxy S8,Celular,3000,3,2017-09-13
Inspiron 15,Notebook,2300,5,2017-09-13
Galaxy J8,Celular,1100,3,2017-09-13
Galaxy S8,Celular,3000,4,2017-09-13
iPhone XS,Celular,6500,4,2017-09-13
Smart TV 50' 4K,Televisão,2600,5,2017-09-13
Câmera Digital Sony Cyber,Câmera,700,5,2017-09-13
iPhone XS,Celular,6500,5,2017-09-13
Smart Watch MI,Smart Watch,1200,2,2017-09-13
Samsung Dual Core,Notebook,1500,3,2017-09-13
Inspiron 15,Notebook,2300,1,2017-09-13
Smart TV LED Full HD 55',Televisão,2000,1,2017-09-13
Câmera Digital Rebel T6,Câmera,1500,3,2017-09-13
Samsung Dual Core,Notebook,1500,5,2017-09-13
Inspiron 15,Notebook,2300,2,2017-09-14
Câmera Digital Rebel T6,Câmera,1500,1,2017-09-14
Galaxy S8,Celular,3000,2,2017-09-14
Galaxy S8,Celular,3000,3,2017-09-14
Câmera Digital Sony Cyber,Câmera,700,5,2017-09-14
iPhone 6S,Celular,1900,4,2017-09-14
Moto G7,Celular,1400,2,2017-09-14
Smart TV 50' 4K,Televisão,2600,2,2017-09-14
Smart TV 50' 4K,Televisão,2600,4,2017-09-14
Inspiron 15,Notebook,2300,5,2017-09-14
Smart TV 50' 4K,Televisão,2600,3,2017-09-14
Moto G7,Celular,1400,2,2017-09-14
Aspire 5,Notebook,2400,1,2017-09-14
Câmera Digital Sony Cyber,Câmera,700,1,2017-09-14
Moto Z,Celular,1500,4,2017-09-14
Câmera Digital Rebel T6,Câmera,1500,4,2017-09-14
Smart Watch MI,Smart Watch,1200,3,2017-09-14
Moto Z,Celular,1500,3,2017-09-14
Inspiron 15,Notebook,2300,3,2017-09-14
Moto G7,Celular,1400,4,2017-09-14
Samsung Dual Core,Notebook,1500,5,2017-09-15
Smart Watch MI,Smart Watch,1200,2,2017-09-15
Dell G7,Notebook,5500,1,2017-09-15
iPhone 6S,Celular,1900,2,2017-09-15
Câmera Digital Rebel T6,Câmera,1500,5,2017-09-15
Galaxy S8,Celular,3000,5,2017-09-15
Smart Watch MI,Smart Watch,1200,2,2017-09-15
Dell G7,Notebook,5500,4,2017-09-15
Câmera Coolpix L340,Câmera,1550,5,2017-09-15
Inspiron 15,Notebook,2300,4,2017-09-15
Galaxy J8,Celular,1100,2,2017-09-15
Câmera Digital Sony Cyber,Câmera,700,2,2017-09-15
Câmera Digital Sony Cyber,Câmera,700,4,2017-09-15
Galaxy S8,Celular,3000,4,2017-09-15
Aspire 5,Notebook,2400,2,2017-09-15
iPhone 7,Celular,2500,2,2017-09-15
Inspiron 15,Notebook,2300,1,2017-09-15
Câmera Coolpix L340,Câmera,1550,1,2017-09-15
Smart TV 50' 4K,Televisão,2600,2,2017-09-15
Câmera Digital Sony Cyber,Câmera,700,1,2017-09-15
iPhone 6S,Celular,1900,1,2017-09-15
Câmera Digital Sony Cyber,Câmera,700,2,2017-09-15
Galaxy S8,Celular,3000,5,2017-09-15
Inspiron 15,Notebook,2300,3,2017-09-15
Smart Watch MI,Smart Watch,1200,3,2017-09-15
Câmera Digital Rebel T6,Câmera,1500,5,2017-09-15
Galaxy S8,Celular,3000,5,2017-09-16
Smart Watch MI,Smart Watch,1200,1,2017-09-16
Smart TV 50' 4K,Televisão,2600,3,2017-09-16
Smart Watch MI,Smart Watch,1200,4,2017-09-16
Tablet M10 Android,Tablet,2000,5,2017-09-16
Inspiron 15,Notebook,2300,4,2017-09-16
Inspiron 15,Notebook,2300,3,2017-09-16
Câmera Digital Rebel T6,Câmera,1500,4,2017-09-16
Câmera Digital Rebel T6,Câmera,1500,2,2017-09-16
Galaxy J8,Celular,1100,3,2017-09-16
Galaxy J8,Celular,1100,2,2017-09-16
Galaxy S8,Celular,3000,5,2017-09-16
iPhone XS,Celular,6500,1,2017-09-16
Moto G7,Celular,1400,1,2017-09-16
Câmera Coolpix L340,Câmera,1550,1,2017-09-16
Galaxy S8,Celular,3000,3,2017-09-16
Moto G7,Celular,1400,3,2017-09-16
Apple Watch,Smart Watch,1750,5,2017-09-16
Smart TV LED Full HD 55',Televisão,2000,3,2017-09-16
Moto G7,Celular,1400,4,2017-09-16
Smart TV 50' 4K,Televisão,2600,5,2017-09-16
Smart TV 50' 4K,Televisão,2600,5,2017-09-16
Câmera Digital Sony Cyber,Câmera,700,4,2017-09-16
iPhone XS,Celular,6500,5,2017-09-16
Galaxy S8,Celular,3000,2,2017-09-16
Samsung Dual Core,Notebook,1500,2,2017-09-16
Galaxy S10,Celular,4500,1,2017-09-16
Tablet M10 Android,Tablet,2000,2,2017-09-16
Moto G7,Celular,1400,4,2017-09-16
Smart TV LED Full HD 55',Televisão,2000,4,2017-09-16
Smart TV LED Full HD 55',Televisão,2000,4,2017-09-16
Câmera Coolpix L340,Câmera,1550,1,2017-09-16
Moto Z,Celular,1500,2,2017-09-17
iPhone 7,Celular,2500,5,2017-09-17
Smart TV 75' 4K,Televisão,5200,4,2017-09-17
Câmera Digital Sony Cyber,Câmera,700,4,2017-09-17
Samsung Dual Core,Notebook,1500,3,2017-09-17
iPad 32GB Wifi,Tablet,750,5,2017-09-17
Smart TV LED Full HD 55',Televisão,2000,4,2017-09-17
Moto G7,Celular,1400,3,2017-09-17
Dell G7,Notebook,5500,1,2017-09-17
Câmera Digital Sony Cyber,Câmera,700,1,2017-09-17
Moto G7,Celular,1400,5,2017-09-17
Moto Z,Celular,1500,3,2017-09-17
Galaxy S10,Celular,4500,1,2017-09-17
Smart TV 50' 4K,Televisão,2600,1,2017-09-17
Inspiron 15,Notebook,2300,3,2017-09-17
TV LED 32',Televisão,1400,2,2017-09-17
Galaxy S8,Celular,3000,2,2017-09-17
Câmera Digital Sony Cyber,Câmera,700,2,2017-09-17
Galaxy J8,Celular,1100,3,2017-09-17
iPhone 6S,Celular,1900,5,2017-09-17
Câmera Digital Sony Cyber,Câmera,700,1,2017-09-17
Samsung Dual Core,Notebook,1500,2,2017-09-18
Smart TV 50' 4K,Televisão,2600,3,2017-09-18
Smart TV 50' 4K,Televisão,2600,4,2017-09-18
Apple Watch,Smart Watch,1750,3,2017-09-18
Moto G7,Celular,1400,3,2017-09-18
Samsung Dual Core,Notebook,1500,4,2017-09-18
Galaxy S8,Celular,3000,3,2017-09-18
Smart TV 50' 4K,Televisão,2600,3,2017-09-18
Câmera Digital Sony Cyber,Câmera,700,3,2017-09-18
Câmera Digital Sony Cyber,Câmera,700,5,2017-09-18
Smart TV 50' 4K,Televisão,2600,3,2017-09-18
Câmera Digital Sony Cyber,Câmera,700,3,2017-09-18
Smart Watch MI,Smart Watch,1200,1,2017-09-18
Smart TV LED Full HD 55',Televisão,2000,2,2017-09-18
Smart TV 50' 4K,Televisão,2600,2,2017-09-18
Smart TV 50' 4K,Televisão,2600,3,2017-09-18
Smart TV 50' 4K,Televisão,2600,5,2017-09-18
Galaxy S10,Celular,4500,4,2017-09-18
Galaxy S8,Celular,3000,4,2017-09-18
Inspiron 15,Notebook,2300,5,2017-09-18
Smart TV 75' 4K,Televisão,5200,2,2017-09-19
TV LED 32',Televisão,1400,1,2017-09-19
Galaxy S10,Celular,4500,5,2017-09-19
Câmera Digital Rebel T6,Câmera,1500,4,2017-09-19
Smart Watch MI,Smart Watch,1200,3,2017-09-19
Aspire 5,Notebook,2400,2,2017-09-19
Moto G7,Celular,1400,5,2017-09-19
Galaxy S8,Celular,3000,1,2017-09-19
Smart TV 50' 4K,Televisão,2600,5,2017-09-19
Apple Watch,Smart Watch,1750,1,2017-09-19
Smart TV 50' 4K,Televisão,2600,3,2017-09-19
Smart TV LED Full HD 55',Televisão,2000,5,2017-09-19
Aspire 5,Notebook,2400,5,2017-09-19
TV LED 32',Televisão,1400,1,2017-09-19
Câmera Digital Sony Cyber,Câmera,700,3,2017-09-19
Smart TV LED Full HD 55',Televisão,2000,4,2017-09-19
Câmera Digital Rebel T6,Câmera,1500,3,2017-09-19
iPhone XS,Celular,6500,4,2017-09-19
iPhone 6S,Celular,1900,3,2017-09-19
Câmera Digital Rebel T6,Câmera,1500,1,2017-09-19
Galaxy S8,Celular,3000,4,2017-09-19
Moto G7,Celular,1400,2,2017-09-19
Câmera Digital Rebel T6,Câmera,1500,5,2017-09-19
Câmera Coolpix L340,Câmera,1550,3,2017-09-20
iPhone XS,Celular,6500,5,2017-09-20
Moto Z,Celular,1500,1,2017-09-20
Aspire 5,Notebook,2400,2,2017-09-20
Smart TV 50' 4K,Televisão,2600,5,2017-09-20
Smart Watch Galaxy,Smart Watch,1450,5,2017-09-20
Samsung Dual Core,Notebook,1500,1,2017-09-20
Smart Watch MI,Smart Watch,1200,5,2017-09-20
iPhone XS,Celular,6500,1,2017-09-20
Moto G7,Celular,1400,3,2017-09-20
Câmera Digital Sony Cyber,Câmera,700,5,2017-09-20
Câmera Digital Rebel T6,Câmera,1500,3,2017-09-20
Câmera Coolpix L340,Câmera,1550,3,2017-09-20
Smart TV LED Full HD 55',Televisão,2000,4,2017-09-20
Inspiron 15,Notebook,2300,3,2017-09-20
iPhone 6S,Celular,1900,4,2017-09-20
Galaxy S10,Celular,4500,5,2017-09-20
Galaxy J8,Celular,1100,5,2017-09-20
Inspiron 15,Notebook,2300,3,2017-09-20
iPhone 6S,Celular,1900,2,2017-09-20
Smart Watch MI,Smart Watch,1200,3,2017-09-20
Samsung Dual Core,Notebook,1500,2,2017-09-20
iPhone XS,Celular,6500,1,2017-09-20
Câmera Digital Sony Cyber,Câmera,700,5,2017-09-20
Galaxy S10,Celular,4500,1,2017-09-20
Câmera Digital Sony Cyber,Câmera,700,5,2017-09-20
Moto Z,Celular,1500,3,2017-09-20
iPhone 7,Celular,2500,4,2017-09-20
Smart Watch MI,Smart Watch,1200,1,2017-09-20
Apple Watch,Smart Watch,1750,1,2017-09-20
Câmera Digital Rebel T6,Câmera,1500,2,2017-09-20
Smart TV LED Full HD 55',Televisão,2000,5,2017-09-21
Galaxy S8,Celular,3000,4,2017-09-21
Galaxy S8,Celular,3000,5,2017-09-21
Samsung Dual Core,Notebook,1500,1,2017-09-21
Smart TV 50' 4K,Televisão,2600,3,2017-09-21
Câmera Digital Rebel T6,Câmera,1500,5,2017-09-21
iPad 32GB Wifi,Tablet,750,2,2017-09-21
Samsung Dual Core,Notebook,1500,3,2017-09-21
iPad 32GB Wifi,Tablet,750,2,2017-09-21
Dell G7,Notebook,5500,5,2017-09-21
Smart TV LED Full HD 55',Televisão,2000,5,2017-09-21
Tablet M10 Android,Tablet,2000,4,2017-09-21
Câmera Digital Sony Cyber,Câmera,700,4,2017-09-21
TV LED 32',Televisão,1400,3,2017-09-21
Moto G7,Celular,1400,1,2017-09-21
Moto Z,Celular,1500,3,2017-09-21
Câmera Digital Sony Cyber,Câmera,700,2,2017-09-21
Inspiron 15,Notebook,2300,1,2017-09-21
Samsung Dual Core,Notebook,1500,2,2017-09-21
Galaxy J8,Celular,1100,2,2017-09-21
Smart TV LED Full HD 55',Televisão,2000,5,2017-09-21
Smart Watch MI,Smart Watch,1200,2,2017-09-21
Apple Watch,Smart Watch,1750,2,2017-09-21
iPhone 7,Celular,2500,4,2017-09-21
Smart TV LED Full HD 55',Televisão,2000,3,2017-09-21
Câmera Coolpix L340,Câmera,1550,5,2017-09-21
Samsung Dual Core,Notebook,1500,4,2017-09-22
Moto G7,Celular,1400,4,2017-09-22
Câmera Digital Rebel T6,Câmera,1500,3,2017-09-22
Moto Z,Celular,1500,2,2017-09-22
Smart TV 50' 4K,Televisão,2600,5,2017-09-22
Smart TV LED Full HD 55',Televisão,2000,4,2017-09-22
Câmera Digital Sony Cyber,Câmera,700,3,2017-09-22
Tablet M10 Android,Tablet,2000,1,2017-09-22
iPhone 6S,Celular,1900,1,2017-09-22
Smart TV 50' 4K,Televisão,2600,5,2017-09-22
Galaxy S10,Celular,4500,3,2017-09-22
iPhone XS,Celular,6500,4,2017-09-22
Câmera Digital Sony Cyber,Câmera,700,4,2017-09-22
Dell G7,Notebook,5500,3,2017-09-22
Galaxy S8,Celular,3000,4,2017-09-22
Samsung Dual Core,Notebook,1500,5,2017-09-22
Smart TV 50' 4K,Televisão,2600,1,2017-09-22
Câmera Coolpix L340,Câmera,1550,3,2017-09-22
TV LED 32',Televisão,1400,3,2017-09-22
Dell G7,Notebook,5500,1,2017-09-22
Aspire 5,Notebook,2400,2,2017-09-22
iPhone XS,Celular,6500,2,2017-09-22
Aspire 5,Notebook,2400,5,2017-09-22
Câmera Coolpix L340,Câmera,1550,4,2017-09-22
Smart Watch MI,Smart Watch,1200,4,2017-09-22
Smart Watch MI,Smart Watch,1200,4,2017-09-22
Smart TV 50' 4K,Televisão,2600,3,2017-09-22
Samsung Dual Core,Notebook,1500,5,2017-09-23
iPhone 7,Celular,2500,5,2017-09-23
Smart TV 50' 4K,Televisão,2600,4,2017-09-23
Smart Watch MI,Smart Watch,1200,5,2017-09-23
Smart TV LED Full HD 55',Televisão,2000,5,2017-09-23
Câmera Digital Sony Cyber,Câmera,700,2,2017-09-23
Smart TV 50' 4K,Televisão,2600,3,2017-09-23
Samsung Dual Core,Notebook,1500,2,2017-09-23
Smart TV 50' 4K,Televisão,2600,4,2017-09-23
Câmera Digital Sony Cyber,Câmera,700,1,2017-09-23
Smart Watch MI,Smart Watch,1200,1,2017-09-23
Inspiron 15,Notebook,2300,4,2017-09-23
Samsung Dual Core,Notebook,1500,3,2017-09-23
Galaxy S8,Celular,3000,5,2017-09-23
Câmera Digital Sony Cyber,Câmera,700,3,2017-09-23
Inspiron 15,Notebook,2300,1,2017-09-23
Câmera Digital Rebel T6,Câmera,1500,4,2017-09-23
iPhone XS,Celular,6500,4,2017-09-23
Apple Watch,Smart Watch,1750,2,2017-09-23
Samsung Dual Core,Notebook,1500,1,2017-09-23
Câmera Digital Sony Cyber,Câmera,700,5,2017-09-23
Smart TV LED Full HD 55',Televisão,2000,3,2017-09-23
Smart Watch MI,Smart Watch,1200,2,2017-09-23
Moto Z,Celular,1500,3,2017-09-23
Câmera Coolpix L340,Câmera,1550,4,2017-09-23
Smart TV LED Full HD 55',Televisão,2000,2,2017-09-23
Aspire 5,Notebook,2400,2,2017-09-23
iPhone 7,Celular,2500,5,2017-09-23
iPhone 7,Celular,2500,5,2017-09-24
Galaxy J8,Celular,1100,5,2017-09-24
Câmera Digital Rebel T6,Câmera,1500,1,2017-09-24
Smart TV 50' 4K,Televisão,2600,4,2017-09-24
iPhone XS,Celular,6500,1,2017-09-24
Tablet M10 Android,Tablet,2000,3,2017-09-24
Câmera Digital Rebel T6,Câmera,1500,4,2017-09-24
Câmera Digital Rebel T6,Câmera,1500,2,2017-09-24
iPhone XS,Celular,6500,4,2017-09-24
TV LED 32',Televisão,1400,2,2017-09-24
Smart TV 50' 4K,Televisão,2600,3,2017-09-24
Galaxy J8,Celular,1100,2,2017-09-24
Smart TV 75' 4K,Televisão,5200,3,2017-09-24
iPhone 7,Celular,2500,4,2017-09-24
Dell G7,Notebook,5500,1,2017-09-24
Moto G7,Celular,1400,1,2017-09-24
Apple Watch,Smart Watch,1750,3,2017-09-24
Moto G7,Celular,1400,2,2017-09-24
Smart Watch MI,Smart Watch,1200,1,2017-09-24
Moto G7,Celular,1400,5,2017-09-24
Câmera Digital Sony Cyber,Câmera,700,3,2017-09-24
Câmera Digital Sony Cyber,Câmera,700,1,2017-09-24
TV LED 32',Televisão,1400,1,2017-09-24
Galaxy S10,Celular,4500,2,2017-09-24
Câmera Coolpix L340,Câmera,1550,3,2017-09-24
iPhone 6S,Celular,1900,5,2017-09-24
TV LED 32',Televisão,1400,4,2017-09-24
Galaxy S10,Celular,4500,1,2017-09-25
Smart Watch MI,Smart Watch,1200,5,2017-09-25
Câmera Digital Rebel T6,Câmera,1500,3,2017-09-25
Moto G7,Celular,1400,1,2017-09-25
Aspire 5,Notebook,2400,5,2017-09-25
Smart Watch MI,Smart Watch,1200,1,2017-09-25
Câmera Digital Rebel T6,Câmera,1500,2,2017-09-25
Samsung Dual Core,Notebook,1500,1,2017-09-25
Smart Watch MI,Smart Watch,1200,4,2017-09-25
Inspiron 15,Notebook,2300,5,2017-09-25
Inspiron 15,Notebook,2300,3,2017-09-25
Câmera Digital Rebel T6,Câmera,1500,2,2017-09-25
Câmera Coolpix L340,Câmera,1550,1,2017-09-25
Inspiron 15,Notebook,2300,5,2017-09-25
Samsung Dual Core,Notebook,1500,4,2017-09-25
Samsung Dual Core,Notebook,1500,4,2017-09-25
Apple Watch,Smart Watch,1750,4,2017-09-25
Moto G7,Celular,1400,5,2017-09-25
iPhone XS,Celular,6500,4,2017-09-25
Câmera Digital Sony Cyber,Câmera,700,3,2017-09-25
Câmera Coolpix L340,Câmera,1550,3,2017-09-25
Câmera Digital Rebel T6,Câmera,1500,4,2017-09-26
Smart Watch Galaxy,Smart Watch,1450,3,2017-09-26
iPhone 7,Celular,2500,1,2017-09-26
Galaxy S8,Celular,3000,3,2017-09-26
Câmera Digital Rebel T6,Câmera,1500,5,2017-09-26
Moto G7,Celular,1400,3,2017-09-26
iPhone 7,Celular,2500,4,2017-09-26
Aspire 5,Notebook,2400,1,2017-09-26
Dell G7,Notebook,5500,2,2017-09-26
Câmera Digital Sony Cyber,Câmera,700,4,2017-09-26
Câmera Digital Sony Cyber,Câmera,700,4,2017-09-26
Inspiron 15,Notebook,2300,5,2017-09-26
Câmera Coolpix L340,Câmera,1550,4,2017-09-26
Galaxy J8,Celular,1100,3,2017-09-26
Smart TV 50' 4K,Televisão,2600,3,2017-09-26
Galaxy J8,Celular,1100,2,2017-09-26
Smart Watch Galaxy,Smart Watch,1450,3,2017-09-26
Aspire 5,Notebook,2400,1,2017-09-26
Smart TV 50' 4K,Televisão,2600,1,2017-09-26
Samsung Dual Core,Notebook,1500,3,2017-09-26
iPhone 6S,Celular,1900,3,2017-09-26
iPad 32GB Wifi,Tablet,750,3,2017-09-26
Smart TV 50' 4K,Televisão,2600,4,2017-09-26
Galaxy S8,Celular,3000,5,2017-09-26
Galaxy J8,Celular,1100,5,2017-09-26
Inspiron 15,Notebook,2300,3,2017-09-26
iPhone XS,Celular,6500,2,2017-09-27
Inspiron 15,Notebook,2300,1,2017-09-27
Smart Watch MI,Smart Watch,1200,1,2017-09-27
Câmera Coolpix L340,Câmera,1550,5,2017-09-27
Moto G7,Celular,1400,5,2017-09-27
Samsung Dual Core,Notebook,1500,4,2017-09-27
Inspiron 15,Notebook,2300,5,2017-09-27
iPhone 6S,Celular,1900,3,2017-09-27
Inspiron 15,Notebook,2300,4,2017-09-27
Samsung Dual Core,Notebook,1500,2,2017-09-27
Smart TV 50' 4K,Televisão,2600,4,2017-09-27
iPhone XS,Celular,6500,4,2017-09-27
Smart TV LED Full HD 55',Televisão,2000,4,2017-09-27
Smart TV 50' 4K,Televisão,2600,2,2017-09-27
Smart TV 50' 4K,Televisão,2600,2,2017-09-27
Samsung Dual Core,Notebook,1500,3,2017-09-27
Moto G7,Celular,1400,5,2017-09-27
Câmera Coolpix L340,Câmera,1550,4,2017-09-27
iPhone 6S,Celular,1900,3,2017-09-27
Moto G7,Celular,1400,1,2017-09-27
Câmera Coolpix L340,Câmera,1550,5,2017-09-27
Smart TV 50' 4K,Televisão,2600,2,2017-09-27
Inspiron 15,Notebook,2300,4,2017-09-27
iPhone 7,Celular,2500,2,2017-09-27
Câmera Coolpix L340,Câmera,1550,2,2017-09-27
Câmera Digital Rebel T6,Câmera,1500,4,2017-09-27
Inspiron 15,Notebook,2300,2,2017-09-27
Smart TV 50' 4K,Televisão,2600,1,2017-09-27
Moto G7,Celular,1400,2,2017-09-28
Câmera Digital Rebel T6,Câmera,1500,2,2017-09-28
Câmera Digital Sony Cyber,Câmera,700,1,2017-09-28
Galaxy J8,Celular,1100,4,2017-09-28
Câmera Coolpix L340,Câmera,1550,3,2017-09-28
Galaxy S10,Celular,4500,5,2017-09-28
Câmera Digital Rebel T6,Câmera,1500,4,2017-09-28
Inspiron 15,Notebook,2300,3,2017-09-28
Câmera Digital Sony Cyber,Câmera,700,2,2017-09-28
Câmera Digital Rebel T6,Câmera,1500,3,2017-09-28
Moto G7,Celular,1400,3,2017-09-28
Moto G7,Celular,1400,5,2017-09-28
Câmera Digital Rebel T6,Câmera,1500,4,2017-09-28
Moto G7,Celular,1400,5,2017-09-28
Galaxy S8,Celular,3000,2,2017-09-28
Moto Z,Celular,1500,2,2017-09-28
Câmera Digital Sony Cyber,Câmera,700,2,2017-09-28
Moto G7,Celular,1400,4,2017-09-28
Moto G7,Celular,1400,3,2017-09-28
Samsung Dual Core,Notebook,1500,5,2017-09-28
Samsung Dual Core,Notebook,1500,1,2017-09-28
Câmera Digital Sony Cyber,Câmera,700,1,2017-09-28
Câmera Digital Rebel T6,Câmera,1500,3,2017-09-28
Galaxy S8,Celular,3000,5,2017-09-29
Smart Watch MI,Smart Watch,1200,3,2017-09-29
Tablet M10 Android,Tablet,2000,5,2017-09-29
iPhone XS,Celular,6500,5,2017-09-29
Smart TV LED Full HD 55',Televisão,2000,3,2017-09-29
iPhone XS,Celular,6500,2,2017-09-29
Câmera Digital Sony Cyber,Câmera,700,1,2017-09-29
Samsung Dual Core,Notebook,1500,3,2017-09-29
Smart TV LED Full HD 55',Televisão,2000,2,2017-09-29
Câmera Digital Rebel T6,Câmera,1500,2,2017-09-29
Câmera Digital Rebel T6,Câmera,1500,2,2017-09-29
Smart TV 50' 4K,Televisão,2600,3,2017-09-29
iPad 32GB Wifi,Tablet,750,3,2017-09-29
Smart TV 50' 4K,Televisão,2600,5,2017-09-29
Aspire 5,Notebook,2400,2,2017-09-29
Câmera Digital Sony Cyber,Câmera,700,2,2017-09-29
Aspire 5,Notebook,2400,1,2017-09-29
Smart Watch MI,Smart Watch,1200,2,2017-09-29
Moto Z,Celular,1500,5,2017-09-30
iPhone 7,Celular,2500,5,2017-09-30
iPhone XS,Celular,6500,4,2017-09-30
Smart TV LED Full HD 55',Televisão,2000,4,2017-09-30
Smart TV LED Full HD 55',Televisão,2000,5,2017-09-30
iPhone 6S,Celular,1900,2,2017-09-30
Câmera Digital Sony Cyber,Câmera,700,2,2017-09-30
Smart Watch MI,Smart Watch,1200,1,2017-09-30
Smart TV 50' 4K,Televisão,2600,4,2017-09-30
Moto G7,Celular,1400,4,2017-09-30
Smart TV LED Full HD 55',Televisão,2000,4,2017-09-30
Smart TV 50' 4K,Televisão,2600,2,2017-09-30
Samsung Dual Core,Notebook,1500,2,2017-09-30
iPhone 7,Celular,2500,3,2017-09-30
Smart TV LED Full HD 55',Televisão,2000,1,2017-09-30
Samsung Dual Core,Notebook,1500,4,2017-09-30
Moto G7,Celular,1400,5,2017-09-30
Galaxy S10,Celular,4500,2,2017-09-30
Câmera Digital Sony Cyber,Câmera,700,3,2017-09-30
Aspire 5,Notebook,2400,5,2017-10-01
Moto G7,Celular,1400,4,2017-10-01
Smart TV LED Full HD 55',Televisão,2000,3,2017-10-01
Moto Z,Celular,1500,5,2017-10-01
Smart TV LED Full HD 55',Televisão,2000,2,2017-10-01
Aspire 5,Notebook,2400,5,2017-10-01
iPhone 6S,Celular,1900,4,2017-10-01
Inspiron 15,Notebook,2300,4,2017-10-01
Câmera Coolpix L340,Câmera,1550,1,2017-10-01
Câmera Coolpix L340,Câmera,1550,1,2017-10-01
Inspiron 15,Notebook,2300,2,2017-10-01
Câmera Digital Sony Cyber,Câmera,700,1,2017-10-01
Câmera Digital Rebel T6,Câmera,1500,4,2017-10-01
Câmera Digital Sony Cyber,Câmera,700,2,2017-10-01
Apple Watch,Smart Watch,1750,4,2017-10-01
Smart TV LED Full HD 55',Televisão,2000,2,2017-10-01
Smart TV 50' 4K,Televisão,2600,3,2017-10-01
Smart TV 50' 4K,Televisão,2600,2,2017-10-02
Dell G7,Notebook,5500,4,2017-10-02
Câmera Digital Sony Cyber,Câmera,700,1,2017-10-02
Smart TV 50' 4K,Televisão,2600,3,2017-10-02
Câmera Digital Sony Cyber,Câmera,700,2,2017-10-02
Câmera Digital Rebel T6,Câmera,1500,3,2017-10-02
Câmera Digital Sony Cyber,Câmera,700,5,2017-10-02
Moto G7,Celular,1400,2,2017-10-02
Smart TV LED Full HD 55',Televisão,2000,5,2017-10-02
Smart TV LED Full HD 55',Televisão,2000,2,2017-10-02
